KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
lpsErestrumOnIce,Neodymium ore can be found on ice planets,Neodymium findet man auf Eisplaneten
lpsOxygenSupply,Be sure to have enough oxygen supply,Sorge für genügend Sauerstoffvorrat
lpsBaseInWater,A base in the water makes oxygen production easier,Eine Basis im Wasser erleichtert die Sauerstoffversorgung
lpsHelmetAtmo,Take off helmet in breathable atmosphere to save oxygen,"Nimm den Helm in atembarer Atmosphäre ab, um Sauerstoff zu sparen"
lpsTemperatePlanetAtmo,Temperate planets often have a breathable atmosphere,Gemäßigte Planeten haben oft eine atembare Atmosphäre
lpsHelmetForDiving,For diving you need to wear your helmet,Zum Tauchen musst du deinen Helm tragen
lpsExploreVessel,Use your small vessel for fast exploration,Verwende dein kleines Raumschiff für schnelle Erkundungen
lpsFancyHome,Build yourself a fancy home,Bau dir ein schönes Zuhause
lpsForestPlanet,Forest planets are the home of dangerous spiders,Waldplaneten sind die Heimat gefährlicher Spinnen
lpsAsteroidField,Be careful when you traverse an asteroid field,Sei vorsichtig wenn du ein Asteroidenfeld durchquerst
Hint:,Hint:,Tipp:
Health:,Health:,Gesundheit:
Food:,Food:,Nahrung:
Oxygen:,Oxygen:,Sauerstoff:
Stamina:,Stamina:,Ausdauer:
Speed:,Speed:,Geschw.:
Jetpack:,Jetpack:,Jetpack:
Gravity:,Gravity:,Schwerkraft:
Helmet:,Helmet:,Helm:
New Game,NEW GAME,NEUES SPIEL
Resume Game,RESUME GAME,SPIEL FORTSETZEN
Multiplayer,MULTIPLAYER,MULTIPLAYER
Options,OPTIONS,OPTIONEN
Player Setup,PLAYER SETUP,SPIELER EINRICHTEN
Exit,EXIT,BEENDEN
Tutorial,Tutorial,Anleitung
Name,Name,Name
Location,Location,Ort
Save Date,Save Date,Speicherdatum
Delete,Delete,Löschen
Backup,Backup,Backup
Rename,Rename,Umbenennen
Load Game,Load Game,Spiel laden
Back,Back,Zurück
Game Name:,Game Name:,Spielname:
Game Mode:,Game Mode:,Spielmodus:
Seed:,Seed:,Zufalls-Startwert:
Empty World:,Empty World:,Leere Welt:
Start Location:,Start Location:,Startpunkt:
Start Game,Start Game,Spiel starten
IP Address:,IP Address:,IP-Adresse:
Port:,Port:,Port:
Connect,Connect,Verbinden
Audio,Audio,Audio
Video,Video,Video
Controls,Controls,Steuerung
Misc,Misc,Divers
Resolution,Resolution,Auflösung
Quality,Quality,Qualität
Fullscreen,Fullscreen,Vollbild
mnuAspectRatioHint,(Only resolutions with native aspect ratio (marked with *) can be used for Fullscreen mode),(Nur Auflösungen mit nativem Seitenverhältnis (markiert mit *) können für Vollbild verwendet werden)
Total Volume,Total Volume,Gesamtlautstärke
Music Volume,Music Volume,Musiklautstärke
Mouse Sensitivity,Mouse Sensitivity,Mausempfindlichkeit
Invert Mouse,Invert Mouse,Maus invertieren
Input Setup,Input Setup,Eingaben konfigurieren
Action,Action,Aktion
Primary,Primary,Primär
Secondary,Secondary,Sekundär
Reset to Defaults,Reset to Defaults,Auf Standardwerte
In-Game Hints:,In-Game Hints:,Spielhinweise:
Language:,Language:,Sprache:
Yes,Yes,Ja
No,No,Nein
On,On,An
Off,Off,Aus
Survival,Survival,Survival
Creative,Creative,Kreativ
not supported,not supported,nicht unterstützt
mnuQualityBest,Best Quality: Shadow of lights enabled. High-res textures. High-res reflection probe for water. Maximum rendering distance for decorations and highest grass density. Best quality for LODs.,"Beste Qualität: Lichter-Schatten aktiviert, Texturen mit hoher Auflösung, hohe Qualität der Wasser-Reflexionen. Maximal Renderdistanz der Dekorationen und Grassdichte. Beste LOD Qualität."
mnuQualityGood,Good Quality: Shadow of lights disabled. High-res textures. High-res reflection probe for water. Medium rendering distance for decorations and medium grass density. Medium quality for LODs.,"Gute Qualität: Lichter-Schatten deaktiviert, Texturen mit hoher Auflösung, hohe Qualität der Wasser-Reflexionen. Mittlere Renderdistanz der Dekorationen und Grassdichte. Mittlere LOD Qualität."
mnuQualityFast,Least Quality: Shadow of lights disabled. Medium-res textures. Low-res reflection probe for water. Lowest rendering distance for decorations and lowest grass density. Low quality for LODs.,"Geringe Qualität: Lichter-Schatten deaktiviert, Texturen mit mittelhoher Auflösung, niedrige Qualität der Wasser-Reflexionen. Niedrigste Renderdistanz der Dekorationen und Grassdichte. Niedrigste LOD Qualität."
mnuIntro Omicron Orbit,The space around the planet Omicron contains a small asteroid field and an abandoned research facility.,In dem Weltraum um den Planeten Omicron befindet sich ein kleines Asteroidenfeld und eine verlassene Forschungsstation.
mnuIntro Omicron,"Omicron is a desert planet with mountain ranges, lakes, plains and rugged terrain. The atmosphere is relatively thin and non breathable. However, oxygen can be generated from the water of the lakes. The average temperature is 32°C and gravity amounts to 1.0 g. \n[c][e0e020]Be warned: Choosing this planet as the survival start is recommended for experienced players only.[-][/c]","Omicron ist ein Wüstenplanet mit Bergketten, Seen, weiten Ebenen und felsigem Gelände. Die Atmosphäre ist relativ dünn und nicht atembar. Allerdings kann Sauerstoff leicht aus dem Wasser der Seen gewonnen werden. Die Durchschnittstemperatur beträgt 32°C und die Schwerkraft liegt bei 1,0 g.  \n[c][e0e020]Sei gewarnt: Diesen Planet as Startplanet in Survival zu wählen, wird nur erfahrenen Spielern empfohlen.[-][/c]"
mnuIntro Aestus,Aestus is a lava planet with unforgiving conditions whose surface is mostly covered by molten lava. The very thick atmosphere is non breathable but oxygen can be generated on the greenish alien-like areas. The gravity is strong with 1.15 g and the average temperature is 53°C. The rare ore Zascosium can be found on Aestus.,"Aestus ist ein Lavaplanet mit erschwerten Bedingungen, dessen Oberfläche zu großen Teilen von flüssiger Lava bedeckt ist. Die dichte Atmosphäre ist nicht atembar, Sauerstoff kann jedoch auf den grünlichen fremdartigen Gebieten gewonnen werden. Die Schwerkraft beträgt 1,15 g und die Durchschnittstemperatur liegt bei 53°C. Hier gibt es Vorkommen des seltenen Zascosium-Erzes."
mnuIntro Akua,"Akua is a temperate planet with vast oceans, volcanic islands and large continents with mountain ranges. It has a breathable atmosphere. The average temperature is 23°C and gravity amounts to 0.84 g.","Akua ist ein gemäßigter Planet mit großen Ozeanen, vulkanischen Inseln sowie großen Kontinenten mit Bergketten. Er hat eine atembare Atmosphäre. Die Durchschnittstemperatur beträgt 23°C und die Schwerkraft liegt bei 0,84 g."
mnuIntro Ningues,"Ningues is an ice planet with steep mountains, large plains and hot springs. There is no breathable atmosphere but oxygen can be generated from the snow. The average temperature is -38°C and gravity amounts to 0.54 g. The rare ore Erestrum can be found on Ningues.","Ningues ist ein Eisplanet mit steilen Bergen, weiten Ebenen und heißen Quellen. Es gibt dort keine atembare Atmosphäre aber Sauerstoff kann aus dem Schnee gewonnen werden. Die Durchschnittstemperatur beträgt -38°C und die Schwerkraft liegt bei geringen 0,54 g. Das seltene Erestrum-Erz kann hier gefunden werden."
inpForward,Forward,Vorwärts
inpBack,Back,Rückwärts
inpLeft,Left,Links
inpRight,Right,Rechts
inpRotateUp,Rotate Up,Rotieren hoch
inpRotateDown,Rotate Down,Rotieren runter
inpRotateLeft,Rotate Left,Rotieren links
inpRotateRight,Rotate Right,Rotieren rechts
inpRollLeft,Roll Left,Rollen links
inpRollRight,Roll Right,Rollen rechts
inpJumpUp,Jump / Up,Springen / Nach oben
inpDown,Down,Nach unten
inpRun,Run,Rennen
inpJetpack,Jetpack,Jetpack
inpOpenUse,Open / Use,Öffnen / Verwenden
inpInventory,Inventory,Inventar
inpMap,Map,Karte
inpControlPanel,Control Panel,Steuertafel
inpCreativeMenu,Creative Menu,Kreativ-Menü
inpScoreBoard,ScoreBoard,Spielerliste
inpAction1,Primary Action,Primäre Aktion
inpAction2,Secondary Action,Sekundäre Aktion
inpReload,Reload,Nachladen
inpDropItem,Drop Item,Gegenstand ablegen
inpMainPowerSwitch,Main Power Switch,Hauptschalter
inpHelmet,Helmet,Helm
inpGlobalChat,Global Chat,Globale Textnachricht
inpFactionChat,Faction Chat,Textnachricht in Fraktion
inpSwitchView,Switch View,Ansicht wechseln
inpGodMode,Fly Mode,Flugmodus
inpBlockRotAxis+,Rotation Axis +,Rotationsachse +
inpBlockRotAxis-,Rotation Axis -,Rotationsachse -
inpRotateBlock+,Rotate Block +,Block rotieren +
inpRotateBlock-,Rotate Block -,Block rotieren -
inpRaiseBlueprint,Raise Blueprint,Bauobjekt hoch
inpLowerBlueprint,Lower Blueprint,Bauobjekt runter
inpLookAround,Look Around,Blickwinkel
inpCreateBlueprint,Create Blueprint,Bauplan speichern
inpBlueprintLib,Blueprint Library,Bauplan-Bibliothek
inpPause,Pause,Pause
inpShowHideFps,Show / Hide FPS,Bildratenanzeige an/aus
inpSaveScreenshot,Save Screenshot,Bildinhalt speichern
inpPlayerDrone,Player Drone,Spieler-Drohne
inpHudMode,HUD Display Mode,Anzeigen an/aus
inpFactionMenu,Faction Menu,Fraktionsmenü
inpFlashlight,Lights,Lichter
inpWarpDrive,Warp Drive,Warpantrieb
inpBuildTools,Build Tools,Bau-Hilfen
inpPDA,PDA,PDA
inpTechTreeMenu,Tech Tree Menu,Technikbaum-Menü
inpConsole,Console,Konsole
inpAutoRotate,Auto Rotate,Automatische Ausrichtung
Loading...,Loading...,Lädt...
lscPreAlphaHeader,This version is still in Pre-Alpha and has some limitations!,Diese Version ist noch Pre-Alpha und hat einige Beschränkungen!
lscPreAlphaLine1,What to expect from the Alpha:,Was in der Alpha zu erwarten ist:
lscPreAlphaBody,"- A whole solar system with more planets (in later development, a whole procedurally generated galaxy)\n- Bigger planets and much more distance between planets\n- No multiplayer restrictions any more, dedicated servers and full PvP support\n- No restricte","- ein ganzes Sonnensystem mit mehr Planeten (später dann eine prozedural generierte Galaxie)\n- größere Planeten und deutlich größere Abstände zwischen den Planeten\n- keine Multiplayer-Beschränkungen mehr, dedizierte Server und volle PvP-Unterstü"
lscPreAlphaLink,"For more information about the limitations and our roadmap, please visit our website http://empyriongame.com/roadmap",Für mehr Information zu den Beschränkungen und die weiteren Pläne besuche unsere Webseite (englisch) http://empyriongame.com/roadmap
svrConnecting,Connecting to server...,Verbinde mit Server...
svrConnectingToHost,Connecting to server {0}...,Verbinde mit Server {0}...
svrConnectingToIpPort,Connecting to server {0}:{1}...,Verbinde mit Server {0}:{1}...
Cancel,Cancel,Abbrechen
bhiGameName,Choose a name for your game. This game name will determine also the name for the save game. Use only letters and numbers.,Wähle einen Namen für das neue Spiel. Dieser Name wird auch für das Speichern des Spielstandes verwendet. Verwende nur Buchstaben und Zahlen.
bhiGameMode,"Select between Survival and Creative mode. In Survival, you must collect resources, fight enemies, manage hunger and oxygen. In Creative, you can build freely and do not have to care for food, resources or enemies.","Wähle zwischen Survival- und Kreativ-Modus. Im Survival-Modus musst du Resourcen suchen, Gegner bekämpfen und dich um Nahrung und Sauerstoff kümmern. Im Kreativ-Modus kannst du frei bauen und musst nicht ums Überleben kämpfen."
bhiSeed,The Seed determines how the world is procedurally generated - the same seed means the same world.,"Der Zufalls-Startwert bestimmt wie die Welt prozedural generiert wird, ein gleicher Startwert ergibt dieselbe Welt."
bhiEmptyWorld,"If you want to start with pre-built structures select NO, otherwise select YES.","Wähle aus, ob du in einer leeren Welt oder in einer Welt mit einigen bereits vorhandenen Objekten (Basis etc.) starten möchtest."
bhiStartLocation,"In Survival, you start either on the temperate planet Akua (easy/medium) or the desert planet Omicron (hard). In Creative mode, you can freely select the starting location.",Im Survival-Modus startet man entweder auf Akua (leicht/medium) oder auf Omicron (schwierig). Im Kreativ-Modus kann man den Startpunkt auswählen.
Power Usage:,Power Usage:,Stromverbrauch:
Power Left:,Power Left:,Strom für:
Docked:,Docked:,Angedockt:
Distance:,Distance:,Entfernung:
Ammo:,Ammo:,Munition:
Type:,Type:,Typ:
hudToTarget,to {0},zu {0}
hssHoverHeight,Hover Height:,Schwebeabstand:
Booster:,Booster:,Booster:
Player,Player,Spieler
Drop,Drop,Ablegen
Trash,Trash,Vernichten
Player Inventory,Player Inventory,Inventar
Constructor,Constructor,Konstruktor
Food Processor,Food Processor,Nahrungsprozessor
Templates,Templates,Vorlagen
Construction Queue,Construction Queue,Warteschlange
Processing Queue,Processing Queue,Warteschlange
Container,Container,Container
Controllable Units,Controllable Units,Bedienbare Einheiten
Properties,Properties,Eigenschaften
Overall Status,Overall Status,Gesamt-Status
Max. Output:,Max. Output:,Max. Leistung:
Consumption:,Curr. Consumption:,Akt. Verbrauch:
Max Consumption:,Max. Consumption:,Max. Verbrauch:
Fuel:,Fuel:,Kraftstoff:
Powered:,Powered:,In Betrieb:
Diameter:,Diameter:,Durchmesser:
Moons:,Moons:,Monde:
Atmo Density:,Atmo Density:,Dichte der Atmosphäre:
igmResourceDiscovered,{0} discovered a new resource:\n{1},{0} hat eine Resource entdeckt:\n{1}
igmPoiDiscovered,{0} discovered a new POI:\n{1},{0} hat ein interessantes Objekt entdeckt:\n{1}
igmLandingEscapePod,You are approaching the surface of the planet {0}. Steer your Escape Pod to a safe spot!,Du näherst dich der Oberfläche des Planeten {0}. Steuere deine Rettungskapsel an einen sicheren Ort!
igmLeaveEscapePod,Press '{0}' to leave the escape pod,Drücke '{0}' um die Rettungskapsel zu verlassen
igmWarpCrystals,You have only {0} {1} but need {2} to warp,Du hast nur {0} {1} aber benötigst {2} zum warpen
igmWarpInSpace,You can only warp in space,Warpen nur im Weltraum möglich!
Size:,Size:,Größe:
tutPlayerDrone,Press '{0}' to activate your personal drone - it will be a big help for building your base,Drücke '{0}' um deine persönliche Drohne zu aktivieren - sie wird dir beim Bauen sehr hilfreich sein
tutOxygenUsage,Place oxygen bottles in oxygen tank and then use an oxygen station to fill up your suit's oxygen,"Befülle den Sauerstofftank mit Sauerstoffflaschen, um dann an einer Sauerstoffstation den Sauerstoff deines Raumanzugs zu befüllen"
tutOxygenGenerator,Place an oxygen generator in the water to produce oxygen bottles,"Stelle einen O2 Generator ins Wasser, um O2 Flaschen herzustellen"
tutBuildBase,"To build a Base, craft 'Base Starter' in constructor and place it on flat terrain","Um eine Basis zu bauen, stelle einen ""Basis-Starter"" im Konstruktor her und platziere ihn auf ebenem Terrain"
tutFillerFlattenTool,Use the 'Filler and Flatten Tool' (right mouse button) to flatten terrain,"Verwende die rechte Maus mit dem ""Füll- & Einebnungsgerät"" um Terrain einzuebnen"
tutRemoveRepairTool,Craft a 'Remove and Repair Tool' to remove blocks,"Stelle ein ""Zerlege- und Reparierwerkzeug"" her um Blocks zu zerlegen / reparieren"
tutPlacePowerGenerator,Place a power generator on your base,Stelle einen Stromgenerator in deine Basis
tutPlaceFuelTank,Place a fuel tank on your base and fill it with fuel packs,Stelle einen Kraftstofftank in deine Basis und befülle ihn mit Kraftstoffzellen
tutPlaceMedicStation,Place a medic station to set your spawn point and for healing,"Stelle eine Medizinstation in deine Basis, um dich zu heilen und einen Startpunkt zu definieren"
tutPlaceLargeConstructor,Place a large constructor to craft advanced devices,"Stelle einen großen Konstruktor in deine Basis, um fortgeschritte Gegenstände herzustellen"
tutPlaceFoodProcessor,Place a food processor to cook and process food items,Stelle einen Nahrungsmittel-Prozessor in deine Basis um Nahrungsmittel herzustellen
tutBuildHV,"To build a Hover Vessel (HV), craft 'Hover Vessel Starter' in constructor and place it somewhere","Um einen Bodengleiter zu bauen, stelle einen ""Bodengleiter-Starter"" her und platziere diesen irgendwo"
tutBuildSV,"To build a Small Vessel (SV), craft 'Small Vessel Starter' in large constructor and place it somewhere","Um ein kleines Raumschiff zu bauen, stelle einen ""Kleines-Raumschiff-Starter"" her und platziere diesen irgendwo"
tutEatOrProcessFood,Find something to eat and/or process your food in a Food Processor,Finde etwas zu essen und / oder verarbeite Nahrungsmittel im Nahrungsmittel-Prozessor
tutUseControlPanel,"To control and manage your base or ship, use the Control Panel ('{0}') while being in a base or cockpit","Um deine Basis / dein Schiff zu steuern und zu kontrollieren, benutze die Steuereinheit ('{0}') während du dich in einer Basis / einem Cockpit befindest"
tutWhatsNeededForHV,"To build functional HV you need: cockpit, generator, fuel tank, RCS, thrusters (on all sides). Hover engine is already placed","Um einen funktionierenden Bodengleiter herzustellen, benötigst du: Cockpit, Generator, Kraftstofftank, RCS und Antriebsdüsen an allen vier Seiten. Eine Schwebeeinheit ist bereits verbaut."
tutWhatsNeededForSV,"To build functional SV you need: cockpit, generator, fuel tank, RCS, thrusters (on all sides)","Um ein funktionierendes kleines Raumschiff herzustellen, benötigst du: Cockpit, Generator, Kraftstofftank, RCS sowie Antriebsdüsen in alle Richtungen"
tutHowToUseConstructor,"Put input items in Inventory, then select items to be produced from Templates",Lege die Start-Gegenstände ins INVENTAR und wähle die herzustellenden Gegenstände aus den VORLAGEN aus
tutSwitchOnMainPower,Switch on Main Power ('{0}' or via Control Panel) to operate unit,Schalte den HAUPTSCHALTER an (mit '{0}' oder über die Steuereinheit) um das Objekt bedienen zu können
tutHowToChangeHoverHeight,Press '{0}' / '{1}' to increase/decrease hover distance to ground,Mit '{0}' / '{1}' kannst du den Schwebeabstand zum Boden einstellen
tutLeaveEscapePod,Take all your equipment with you because the escape pod will soon vanish!,Nimm deine komplette Ausrüstung mit dir da die Rettungskapsel bald verschwinden wird!
igmInventoryFull,Cannot pick up - inventory full,Inventar voll - kann Gegenstand nicht aufheben
igmLeaveWorldOnlyTogether,You can leave the world only in a ship with all players onboard!,Du kannst die Welt nur in einem Raumschiff mit allen Spielern an Bord verlassen!
igmDieWhenLeavingWorld,"If you continue leaving the world, you will die!","Wenn du weiter in Richtung Orbit fliegst, wirst du sterben!"
igmDieWhenContinueFlying,If you continue flying you will die!,"Wenn du weiter fiegst, wirst du sterben!"
igmEnterWorldOnlyTogether,You can enter the planet only in a ship with all players onboard!,Du kannst den Planet nur in einem Raumschiff mit allen Spielern an Bord betreten!
igmLeaveWorldOnlyAsPassenger,You can leave the planet only on a passenger seat!,Du kannst den Planeten nur auf einem Passagierplatz verlassen!
igmCanEnterAsPassenger,You can enter a planet only as a passenger!,Du kannst den Planeten nur als Passagier betreten!
igmCannotPlaceOnPlanet,You can not place this on a planet,Das kannst du nicht auf einem Planeten platzieren
igmCannotPlaceInSpace,You can not place this in space,Das kannst du nicht im All platzieren
igmFlattenTerrainFirst,You need to flatten the terrain first,Du musst zuerst das Terrain einebnen
igmCreatedNew,Created new {0} ({1}),Neue {0} ({1}) kreiert
igmCurrentlyOccupied,Currently occupied!,Im Augenblick belegt!
igmCurrentlyOccupiedBy,Currently occupied by {0}!,Im Augenblick von {0} belegt!
igmGameSavedNoBackup,Game saved. Backup failed!,Spiel gespeichert. Sicherungskopie gescheitert!
igmGameSavedWithBackup,Game saved. Backup created.,Spiel gespeichert. Sicherungskopie erstellt.
igmInvalidItemForContainer,Cannot put this item here,Gegenstand kann nicht in diesen Container gelegt werden
Server Port:,Server Port:,Server Port:
Blueprints,Blueprints,Baupläne
Load,Load,Laden
Energy Items,Energy Items,Kraftstoffe
Output Items,Output Items,Erzeugte Gegenstände
Status,Status,Status
Operational time [h:mm]:,Operational time [h:mm]:,Restarbeitszeit [h:mm]:
Status:,Status:,Status:
Source quality:,Source quality:,Qualität Quellmaterial:
Next bottle [s]:,Next bottle [s]:,Nächstes Erzeugnis [s]:
Container Inventory,Container Inventory,Container Inventar
igmStopToExit,Please stop the ship to exit the cockpit,Bitte halte das Schiff an um auszusteigen
igmWaitReloadToExit,Please wait for reloading to finish,Bitte warte bis das Nachladen beendet ist
igmForceStopGeneratorOff,Generator turned off while moving. Initializing forced stop of your ship,Generator wurde während des Flugs ausgeschaltet. Führe Notbremsung durch
igmEmergencyBreakLowFuel,Initializing emergency break due to low fuel.,Wenig Kraftstoff - Notbremsung wird durchgeführt
igmWrongFactionOrNoCore,Wrong faction or no core present!,Falsche Fraktion oder kein Kern vorhanden!
igmWrongFaction,Wrong faction!,Falsche Fraktion!
igmWrongFactionOrPrivate,Wrong faction or private!,Falsche Fraktion oder privat!
igmCannotEnterTooNearToPlanet,"Cannot enter, too near to a planet!","Kann nicht einsteigen, zu nah an einem Planeten"
igmOtherFactionBaseNearby,Cannot build nearby an enemy base,Bauen in der Nähe einer feindlichen Basis nicht möglich
igmResourceNearby,Cannot create nearby a resource deposit,Nicht möglich in der Nähe eines Rohstoffvorkommens zu bauen.
igmSpawnColliderOverlaps,There is another object in the spawn area,Da ist ein anderes Objekt im Bereich
igmNoSpaceToPlace,No empty space to place block,Kein freier Platz um Block zu setzen
igmCannotPlaceBlockOn,You cannot place this block on {0}. Please check the block attributes for further info.,Du kannst den block nicht auf {0} setzen. Bitte schau in die Blockattribute für weiter Infos.
igmEnterCockpitMS,Press '{0}' to pilot the capital vessel,Drücke '{0}' um das große Raumschiff zu fliegen
igmEnterCockpitGV,Press '{0}' to enter the hover vessel,Drücke '{0}' um den Bodengleiter zu fliegen
igmEnterCockpitSS,Press '{0}' to enter the small vessel,Drücke '{0}' um das kleine Raumschiff zu fliegen
igmEnterEntityGeneral,Press '{0}' to enter {1},Drücke '{0}' um in {1} einzusteigen
igmEnterPlayerBike,Press '{0}' to enter {2} or press {1} to pick it up,Drücke '{0}' um in {2} einzusteigen oder {1} um es aufzunehmen
igmPickupPlayerBike,Press '{0}' to pick up {1},Drücke {0} um {1} aufzunehmen
igmUseConstructor,Press '{0}' to use the Constructor,Drücke '{0}' um den Konstruktor zu benutzen
igmUseATM,Press '{0}' to use the Automated Teller Machine,Drücke '{0}' um den Geldautomat zu benutzen
igmCoreInfo,Core: {0} Faction,Kern: {0}-Fraktion
igmCoreAccess,Press '{0}' to open Control Panel,Drücke '{0}' um das Steuergerät zu benutzen
igmUseFoodProcessor,Press '{0}' to use the Food processor,Drücke '{0}' um den Nahrungsmittel-Prozessor zu benutzen
igmSwitchLightOn,Press '{0}' to switch light on,Drücke '{0}' um das Licht anzuschalten
igmSwitchLightOff,Press '{0}' to switch light off,Drücke '{0}' um das Licht auszuschalten
igmEnterPassengerSeat,Press '{0}' to enter as a passenger,Drücke '{0}' um als Passagier mitzufliegen
igmEnterTurret,Press '{0}' to remote control turret,Drücke '{0}' um das Geschütz aus Distanz zu bedienen
igmTurretOnlyBA,You need to access this turret using the control panel either from the cockpit or a passenger seat,Du musst dieses Geschütz entweder vom Cockpit oder einem Passagiersitz über das Steuergerät zugreifen
Access,Access,Zugang
Mass:,Mass:,Masse:
missing,missing,fehlt
Unit,Unit,Einheit
Select Color:,Select Color:,Wähle Farbe:
Cockpit,Cockpit,Cockpit
Fuel Tank,Fuel Tank,Kraftstofftank
Generator,Generator,Generator
Core,Core,Kern
RCS,RCS,RCS
Thruster,Thruster,Schubdüse
Hover Engine,Hover Engine,Schwebesystem
igmNoExternalOxygen,No oxygen! Wearing your helmet may help.,Kein Sauerstoff! Helm aufsetzen kann helfen.
igmEffectNoFood,You are dying from lack of food.,Du stirbst langsam mangels Nahrung!
igmEffectNoOxygen,You have no oxygen to breathe.,Du hast keinen Sauerstoff zum Atmen!
igmEffectFire,You are burning. Get out of the lava.,Du brennst - verlasse die Lava!
igmEffectApplyMedikitSmall,You applied a small medikit.,Du hast ein kleines Medikit angewendet
igmEffectApplyMedikitLarge,You applied a large medikit.,Du hast ein großes Medikit angewendet
igmEffectMedicStation,Your health level is increasing.,Deine Gesundheit verbessert sich
igmEffectOxygenStation,Your oxygen is refilling.,Dein Sauerstoff wird aufgefüllt
igmEffectStaminaBoost,You obtained a Stamina boost.,Du hast einen Stamina-Boost erhalten.
igmEffectFoodPoisoning,"You have a food poisoning. Use an appropriate remedy (e.g., medikit or stomach pill) to cure the poisoning!",Du hast eine Lebensmittlevergiftung. Verwende ein geeignetes Medikament (zB Medikit oder Magentablette) um die Vergiftung zu heilen!
igmEffectPoisonBite,"You have been bitten and now you are poisoned. Use an appropriate remedy (e.g., medikit or antidote) to cure the poisoning!",Du hast einen Giftbiss abbekommen. Verwende ein geeignetes Medikament (zB Medikit oder Gegengift) um die Vergiftung zu heilen!
igmEffectOpenWound,"You have an open wound. Use an appropriate remedy (e.g., medikit or bandages) to heal the wound!",Du hast eine offene Wunde. Verwende ein geeignetes Heilmittel (zB Medikit oder Bandage) um die Wunde zu versorgen!
igmEffectStimBoostUp,You obtained a Stamina boost.,Du hast einen Stamina-Boost erhalten.
igmEffectStimBoostDown,The Stamina boost is fading out and now you feel its side effect.,"Der Stamina-Boost ist vorüber, jetzt merkst du die Nebeneffekte"
igmEffectBadTrip,You are on a bad trip (stamina and health are decreasing)!,Du bist auf einem schlechten Trip (Stamina und Lebenspunkte gehen zurück)!
igmEffectAlienParasiteStep1,An Alien parasite infected you. An antidote injection will prevent it from spreading out.,Ein Alien-Parasit hat dich infiziert. Spritze dir ein Gegengift bevor er sich ausbreitet!
igmEffectAlienParasiteStep2,The parasite spreads further out. You will die if you don't apply the antidote injection.,"Der Alien-Parasit hat sich ausgebreitet. Du wirst sterben, wenn du dir kein Gegengift spritzt!"
igmEffectAlienParasiteStep3,The alien parasite has infected your brain. You are dying...,"Der Alien-Parasit hat dein Gehirn infiziert, du liegst im Sterben..."
ENERGY,ENERGY,ENERGIE
Show Pre-Alpha Info,Show Pre-Alpha Info,Pre-Alpha-Info anzeigen
igmExceededBases,In this version there is a limited number of bases you can create ({0}). Cannot create more for now,In dieser Version gibt es eine limitierte Anzahl von Basen die man bauen kann ({0}). Keine weiteren mehr möglich
igmO2Fill,Press '{0}' to use the O2 station,Drücke '{0}' um die O2 Station zu verwenden
igmNoO2InTanks,There is no O2 in the tanks,Keine O2 Flaschen in den O2 Tanks
igmSwitchOnPower,Switch on the main power first,Schalte zuerst den Hauptschalter ein
igmO2AlreadyFull,O2 already full,Sauerstoff bereits maximal gefüllt
igmDroneBaseAttack,Warning! Drones are on their way to attack your base,Warnung! Drohnen sind auf dem Weg um deine Basis anzugreifen
igmIncomingAsteroid,Meteorite incoming! Watch out - it may contain new resources!,Meteorit gesichtet! Eventuell enthält er neue Rohstoffe.
igmTroopsTransportClose,Warning! Enemy troop transport is approaching,Warnung! Feindlicher Truppentransport nähert sich
igmDroneBaseDisabled,Congratulations! You have disabled the drone base. There will be no new drone attacks,Gratulation! Du hast die Drohnenbasis ausgeschalten. Es wird nun keine neuen Drohnenangriffe mehr geben.
lblOffNoEnergy,Off (No energy source),Aus (Kein Kraftstoff)
lblOffNoMaterial,Off (No source material),Aus (Kein Quellmaterial)
lblOffNoStorage,Off (Storage full),Aus (Lager voll)
Source Quality:,Source Quality:,Materialqualität:
Tech Tree,Tech Tree,Technikbaum
Tech Trees,Tech Trees,Technikbäume
Required Unlock Points:,Required Unlock Points:,Notwendige Freischaltpunkte
Unlock,Unlock,Freischalten
Player's Level:,Player's Level:,Spieler Level:
tutExpGain,"You can gain experience with different actions such as exploring, building, mining, farming and fighting","Du erhältst Erfahrungspunkte für Tätigkeiten wie erkunden, graben, bauen, anbauen und kämpfen"
tutTechTree,"Press '{0}' to access the Tech Trees and unlock items with ""Unlock Points"" gained after levelling up","Drücke '{0}' um die Technikbäume zu öffnen und Gegenstände mithilfe von ""Freischaltpunkten"" freizuschalten die du nach einem Levelgewinn erhältst"
GV_New,New HV,Neuer BG
SV_New,New SV,Neues KR
CV_New,New CV,Neues GR
Base_New,New Base,Neue Basis
EscapePod,Escape Pod,Rettungskapsel
EscapePod_NewStart,Escape Pod,Rettungskapsel
Passengers:,Passengers:,Passagiere:
Faction,Faction,Fraktion
Factions,Factions,Fraktionen
Create,Create,Gründen
Join,Apply,Bewerben
Edit,Edit,Editieren
Leave,Leave,Verlassen
Accept,Accept,Aufnehmen
Remove,Remove,Entlassen
Promote,Promote,Befördern
Demote,Demote,Degradieren
(Invalid Name),(Invalid Name),(Ungültiger Name)
Create Faction,Create Faction,Fraktion gründen
