"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
Passengers:,Passengers:,乘员,"Passagers :",Passagiere:,Passageiros:,Pasajeros,
Faction,Faction,联盟,Faction,Fraktion,Faction,Facción,
Factions,Factions,联盟,Factions,Fraktionen,Factions,Facciones,
Create,Create,创造,Créer,Gründen,Create,Crear,
Join,Apply,申请,Appliquer,Bewerben,Apply,Aplicar,
Edit,Edit,编辑,Edition,Editieren,Edit,Editar,
Leave,Leave,离开,Quitter,Verlassen,Leave,Salir,
Accept,Accept,接受,Accepter,Aufnehmen,Accept,Aceptar,
Remove,Remove,开除,Enlever,Entlassen,Remove,Remover,
Promote,Promote,升职,Promouvoir,Befördern,Promote,Promover,
Demote,Demote,降职,Rétrograder,Degradieren,Demote,Degradar,
"(Invalid Name)","(Invalid Name)",(无效的名字),"(Nom invalide)","(Ungültiger Name)","(Invalid Name)","(nombre invalido)",
"Create Faction","Create Faction",建立联盟,"Créer faction","Fraktion gründen","Create Faction","Crear una Facción",
"Rename Faction","Rename Faction",重命名联盟,"Renommer faction","Fraktion umbenennen","Rename Faction","Renombrar la Facción",
"Faction Abbreviation","Faction Abbreviation","联盟缩写 ","Abréviation de la faction",Fraktionskürzel,"Faction Abbreviation","Abreviatura de la facción",
CPnlNoFaction,"No Faction",无联盟,"Pas de faction","Keine Fraktion","No Faction","No hay facción",
CPnlFactionX,"Faction: [{0}]",联盟:[{0}],"Faction : [{0}]","Fraktion: [{0}]","Facção [{0}]","Facción: [{0}]",
CPnlFactionPriv,Private,私人,Privé,Privat,Private,Privado,
CPnlFactionPub,Public,公共,Publique,Alle,Public,Público,
"(Faction Name Taken)","(Faction Name Taken)",(联盟名称),"(Nom déjà utilisé)","(Name vorhanden)","(Faction Name Taken)","(Nombre de la facción adoptado)",
"(Abbreviation Taken)","(Abbreviation Taken)",(联盟名称缩写),"(Abréviation déjà utilisée)","(Abkürzung vorhanden)","(Abbreviation Taken)","(Adoptada la Abreviatura)",
Members,Members,成员,Membres,Mitglieder,Members,Miembros,
Role,Role,角色,Rôle,Rolle,Role,Rol,
Abbrev,Abbrev,缩写,Abrév.,Abk.,Abbrev,Abreviatura,
Candidate,Candidate,候补成员,Candidat,Kandidat,Candidate,Candidato,
Member,Member,成员,Membre,Mitglied,Member,Miembro,
Admin,Admin,管理员,Admino,Administrator,Admin,Admin,
Founder,Owner,建立者,Possesseur,Gründer,Owner,Propietario,
Gravity,Gravity,重力,Gravité,Gravitation,Gravity,Gravedad,
Type,Type,类型,Type,Typ,Type,Tipo,
Difficulty,Difficulty,难度,Difficulté,Schwierigkeit,Difficulty,Dificultad,
PvP,PvP,PvP,PvP,SgS,PvP,JcJ,
Space,Space,空间,Espace,Weltraum,Space,Espacio,
Temperate,Temperate,宜居,Tempéré,"Gemäßigter Planet",Temperate,Templado,
Desert,Desert,沙漠,Désert,Wüstenplanet,Desert,Desertico,
Snow,Snow,雪原,Neige,Eisplanet,Snow,Nevado,
Lava,Lava,,Lave,Lavaplanet,Lava,Lava,
Barren,Barren,,Stérile,"Unfruchtbarer Planet",Barren,Estéril,
PvE,PvE,,PvE,SgU,PvE,JcA,
Mode,Mode,,Mode,Modus,Mode,Modo,
Kill,Suicide,,Suicide,Suizid,Suicide,Suicidarse,
AreYouSure,"Are you sure you want to do this?",,"Etes-vous sur de bien vouloir le faire ?","Bist du sicher, dass du das machen möchtest?",,"¿Seguro que quieres hacer esto?",
"Direct IP and Port:","Direct IP and Port:",,"IP et Port directs :","Direkte IP und Port","Direct IP and Port:","Conexión Directa - IP y Puerto",
"Stop Refresh","Stop Refresh",,"Arrêter l'actualisation","Aktualisieren anhalten","Stop Refresh","Parar Búsqueda",
Refresh,Refresh,,Actualisation,Aktualisieren,Refresh,"Buscar Servidores",
Ping,Ping,,"Ping p",Ping,Ping,Latencia,
Build,Build,,Version,Bauen,Build,Versión,
Players,Players,,Joueurs,Spieler,Players,Jugadores,
"Server Name","Server Name",,"Nom du serveur",Servername,"Server Name","Nombre del Servidor",
"Total Servers:","Total Servers:",,"Total serveurs :","Server insgesamt:","Total Servers:","Total de Servidores",
"Server List","Server List",,"Liste des serveurs","Server Liste","Server List","Lista de Servidores",
"Hide password protected","Hide password protected",,"Cacher si demandent mot de passe","Passwortgeschützte verstecken","Hide password protected","Ocultar protegidos con clave",
"Hide incompatible builds","Hide incompatible builds",,"Cacher si version incompatible","Inkompatible Versionen verstecken","Hide incompatible builds","Ocultar versiones incompatibles",
ServerPassword,"Please enter password for server:",,"Tapez le mot du passe du serveur :","Bitte gib das Passwort für den Server ein","Por favor digite a senha:","Ingrese la clave del servidor:",
Level,Level,,Niveau,Level,Level,Nivel,
"Available Unlock Points:","Available Unlock Points:",,"Points de recherche :","Vorhandene Freischaltpunkte","Available Unlock Points:","Puntos de desbloqueo disponibles:",
"Character Stats","Character Stats",,Charactéristiques,"Spieler Statistiken","Character Stats","Estadísticas del personaje",
Global:,Global:,,"Globale :",Global:,Global:,Global:,
Filter:,Filter:,,"Filtre :",Filter:,Filtro:,Filtro:,
Name:,Name:,,"Nom :",Name:,Name:,Nombre:,
Resources,Resources,,Ressources,Rohstoffe:,Resources,Recursos,
"Length of Day:","Length of Day:",,"Durée jour :",Tageslänge:,"Length of Day:","Duración del día:",
"Current / Mean Temperature:","Current / Mean Temperature:",,"Température moyenne :","Aktuelle / Durchschnittstemperatur:","Current / Mean Temperature:","Temperatura actual / media:",
mnuFacebook,Facebook,,Facebook,Facebook,Facebook,Facebook,
mnuTwitter,Twitter,,Twitter,Twitter,Twitter,Twitter,
Distance,Distance,,Distance,Distanz,Distance,Distancia,
"Lock Target","Lock Target",,"Verrouiller cible","Ziel erfassen","Lock Target","Fijar objetivo",
"Current Target","Current Target",,"Cible actuelle","Aktuelles Ziel","Current Target","Objetivo actual",
Mode:,Mode:,,"Mode :",Modus:,Mode:,Modo:,
Difficulty:,Difficulty:,,Difficulté,Schwierigkeit,Dificuldade:,Dificultad:,
igmWarpJumpOnlyInCockpit,"Warp jump only in cockpit of a capital vessel possible",,"Le saut spatio-temporel est possible uniquement en étant dans le cockpit d'un VM","Warpsprung nur im Cockpit eines Großen Raumschiffs möglich","Warp jump only in cockpit of a capital vessel possible","Sólo puede usar el Hiper Salto desde la cabina de una Nave Capital",
igmWarpJumpNotAvail,"You need a warp drive to jump",,"Vous avez besoin d'un moteur à distorsion pour sauter","Du brauchst einen Warpantrieb für einen Warpsprung","You need a warp drive to jump","Necesita un motor Hiper Salto para poder saltar",
igmWarpJumpNoTarget,"No warp jump target locked",,"Vérrouillez une destination avant de sauter","Kein Warpsprungziel ausgewählt","No warp jump target locked","No está seleccionado un destino para el Hiper Salto",
igmWarpJumpArrivedAlready,"Arrived at target already",,"Déjà arrivé à destination","Du bist schon am Ziel angekommen","Arrived at target already","Ha llegado al destino seleccionado",
igmWarpJumpHeadTarget,"You need to fly towards the target to activate warp jump",,"Accélérez vers votre destination pour activer le saut","Du musst auf das Ziel zufliegen um den Warpsprung zu aktivieren","You need to fly towards the target to activate warp jump","Necesita volar hacia el objetivo para activar el salto WARP",
igmWarpJumpFlyFaster,"You need to fly faster to activate warp jump",,"Le VM doit être à vitesse maximale pour activer le saut","Du musst schneller fliegen um den Warpsprung zu aktivieren","You need to fly faster to activate warp jump","Necesita volar más rápido para activar el salto WARP",
igmWarpJumpPassengers,"All players have to be on passenger seats",,"Tous les passagers doivent être assis dans un siège avant le saut","Alle Spieler müssen sich auf einem Passagiersitz befinden","All players have to be on passenger seats","Todos los pasajeros tienen que estar en sentados",
igmDetachNotPossible,"You cannot do this now - you have to wait",,"Impossible pour le moment","Du kannst das momentan nicht machen - du musst etwas warten","You cannot do this now - you have to wait","Usted no puede hacer esto ahora - tiene que esperar",
igmSectorLeaving,"You need a warp drive to travel to a location outside your sector",,"Vous avez besoin d'un moteur à distorsion pour voyager vers les autres secteurs","Du brauchst einen Warpantrieb um ein Ziel außerhalb deines Sektors zu erreichen","You need a warp drive to travel to a location outside your sector","Necesita un motor WARP para viajar a otro destino fuera de su sector",
igmWeaponNotShootableHere,"You cannot shoot this weapon on a planet",,"Inutilisable sur une planète","Du kannst die Waffe auf einem Planeten nicht abfeuern","You cannot shoot this weapon on a planet","No puedes disparar esta arma en un planeta",
igmWeaponNotShootableUnderWater,"You cannot shoot this weapon under water",你不能在水下使用这个武器,"Cette arme ne peut pas tirer sous l'eau","Du kannst die Waffe nicht unter Wasser abfeuern","Você não pode atirar com essa arma debaixo da água","No se puede disparar este arma bajo el agua",
igmFlyRestriction,"Flying only possible if all players leave the docked ships",,"Vol possible seulement si tous les joueurs quittent les vaisseaux amarrés","Alle Spieler müssen die gedockten Schiffe verlassen um fliegen zu können","Flying only possible if all players leave the docked ships","Volar sólo es posible si todos los jugadores abandonan las naves atracadas",
igmFreighterSpotted,"Freighter has been spotted that carries valuable goods",发现携带贵重货物的货船,"Un cargo transportant de précieuses marchandises a été repéré","Frachter mit wertvoller Ware gesichtet","Cargueiro foi avistado e carrega bens valiosos","Se ha avistado un carguero que transporta materiales valiosos",
igmFreighterSelfDestruction,"Freighter self desctruction sequence has been activated. Freighter will explode in 30min",货船启动自我毁灭程序，货船将在30分钟后爆炸。,"Séquence d’autodestruction du cargo activée. Le cargo explosera dans 30 minutes","Selbstzerstörungsmechanismus des Frachters wurde aktiviert. Frachter zerstört sich selbst in 30min","Sequencia de autodestruição do cargueiro foi ativada. Cargueiro irá explodir em 30min","La secuencia de autodestrucción del carguero ha sido activada. El carguero explotará en 30 minutos",
igmFreighterCanNotBeControlled,"This freighter can not be controlled",不能控制这个货船,"Ce cargo ne peut être contrôlé","Dieser Frachter kann nicht selbst geflogen werden","Este cargueiro não pode ser controlado","Este cargero no puede ser controlado",
igmFreighterLastWarning,"Only 5min left until self destruction of freighter",货船将在5分钟后自毁,"Plus que 5 minutes avant l'autodestruction du cargo","Es verbleiben nur noch 5min bis zur Selbstzerstörung des Frachters","Apenas 5min antes da autodestruição do cargueiro","Quedan 5 minutos para la destrucción del carguero",
mnuHoverLabelIngameHints,"Here you can choose to have in-game hints in Survival mode enabled or disabled.",,"Choisissez si les astuces s'affichent ou pas en mode survie","Wähle ob du im Survival-Modus Hilfetexte haben möchtest","Here you can choose to have in-game hints in Survival mode enabled or disabled.","Aquí puede elegir tener activadas o desactivadas las pistas en el modo Supervivencia.",
mnuHoverLabelServerPort,"This is the port if you are server in a multiplayer game.",,"Voici votre port si vous êtes serveur d'un jeu multi-joueurs","Port-Nummer wenn du in einem Multiplayer-Spiel der Server bist","This is the port if you are server in a multiplayer game.","Este es el puerto si eres servidor en una partida multijugador.",
btnAbortProduction,"Abort Production",,"Abandonner la production","Produktion abbrechen","Abort Production","Abortar Producción",
btnBpFactory,Factory,,Usine,Fabrik,Factory,Fábrica,
btnBpLibrary,Library,,Bibliothèque,Bibliothek,Library,Biblioteca,
btnOpenWorkshop,"Open Workshop",打开创意工坊,"Workshop (Steam)","Workshop öffnen","Open Workshop","Abrir Workshop",
btnPublish,Publish,发布,Publier,Veröffentlichen,Publish,Publicar,
btnRevert,Revert,收回,Recommencer,Rückgängig,Revert,Revertir,
btnSpawn,Spawn,产生,Créer,"Objekt erzeugen",Spawn,Colocar,
btnStartProduction,"Start Production",开始建造,"Commencer production","Start Produktion","Start Production","Iniciar la Producción",
btnToFactory,"To Factory",发送至工厂,"Vers l'usine","In Fabrik","To Factory","A la Fábrica",
mnuAmount,Amount,总计,Quantité,Menge,Amount,Cantidad,
mnuBlockCount_b,"Block Count: ",方块数:,"Nombre de blocs : ","Blockanzahl: ","N de blocos:","Número de bloques:",
mnuNoBpInFactory,"No Blueprint in Factory",工厂中无蓝图,"Pas de bleus dans l'usine","Kein Bauplan in der Fabrik","No Blueprint in Factory","No hay Planos en la Fábrica",
mnuRemainTime,"Remaining Time:",剩余时间:,"Temps restant :",Restzeit:,"Tempo remanescente:","Tiempo restante:",
mnuResourceIntake,Intake,资源取得量,Consommation,Eingabe,Intake,Consumo,
mnuSizeWHD:_,"Size (WxHxD): ",尺寸(宽x高x长),"Dim.  (LxHxP): ","Größe (BxHxT): ","Tam. (LxAxD)","Tamaño (LxAxP):",
mnuSrc,Src,资源,Rech.,Quelle,Src,Src,
mnuTitleBlueprints,Blueprints,蓝图,Bleus,Baupläne,Blueprints,Planos,
mnuTitleInfos,Infos,信息,Infos,Informationen,Infos,Informaciones,
mnuTitleResourcesAndTime,"Resources / Time",资源/时间,"Ressources / Temps","Rohstoffe / Zeit","Resources / Time","Recursos / Tiempo",
mnuTotalProdTime,"Total Production Time:",总建造时间:,"Temps de production :",Gesamt-Produktionszeit:,"Tempo total de prod:","Tiempo total de producción:",
igmNoPrefabInBpFactory,"No Blueprint in Factory",工厂中无蓝图,"Pas de bleus dans l'usine","Kein Bauplan in der Fabrik","No Blueprint in Factory","No hay Planos en la Fábrica",
igmItemNoContribToBp,"Item doesn't contribute to Blueprint production",,"Ressource inutile","Element trägt nicht zur Produktion des Bauplans bei","Item doesn't contribute to Blueprint production","El artículo no contribuye a la producción de Planos",
mnuNoBlueprints,"No Blueprints",无蓝图,"Pas de bleus","Keine Baupläne","No Blueprints","No hay Planos",
mnuNoBlueprintSelected,"No Blueprint selected",,"Aucun bleu sélectionné","Kein Bauplan ausgewählt","No Blueprint selected","No hay ningún Plano Seleccionado",
mnuBpType_b,"Type: ",,"Type :","Typ: ","Tipo: ",Tipo:,
mnuBpName_b,"Name: ",,"Nom :","Name: ","Nome: ",Nombre:,
mnuRespawnHomeInfo,"Respawn at your home base on {0}",,"Réapparaitre dans votre base principale sur {0}","Auf deiner Heimatbasis auf {0} spawnen","Respawn at your home base on {0}","Recolocar en su base/casa en {0}",
mnuRespawnHomeNoSpawnPoint,"Your home base has no medic station",,"Votre base principale n'a pas de station médicale","Deine Heimatbasis hat keine Medizinstation","Your home base has no medic station","Su base no tiene estación medica",
mnuRespawnHomeMoving,"Your home base may not move",,"Votre base principale ne peut pas être déplacée","Deine Heimatbasis darf sich nicht bewegen","Your home base may not move","Es posible que su base no se mueva",
mnuRespawnNotFound,"Your home base was not found",,"Votre base principale n'a pas été trouvée","Deine Heimatbasis wurde nicht gefunden","Your home base was not found","No se encontró su casa base",
mnuRespawnWrongFaction,"Your home base has the wrong faction",,"Votre base principale appartient à la mauvaise faction","Deine Heimatbasis hat die falsche Fraktion","Your home base has the wrong faction","Su base tiene la facción equivocada",
mnuRespawnHomeUndef,"Cannot spawn on your home base",,"Ne peut pas être créé sur votre base principale ","Kann nicht auf deiner Heimatbasis spawnen","Cannot spawn on your home base","No puede espaonear en su base de origen",
texNote,"Note: You cannot use symbols from different pages on the same block",,"Vous ne pouvez pas utiliser des symboles de différentes pages sur un même bloc","Beachte: Du kannst keine Symbole von verschiedenen Seiten auf dem selben Block verwenden","Nota: você não pode utilizar símbolos de diferentes páginas no mesmo bloco","Nota: No puede utilizar símbolos de páginas diferentes en el mismo bloque",
texChooseTexture,"Choose Texture",,"Choissisez une textire","Wähle ein Textur aus","Choose Texture","Elegir textura",
texChooseColor,"Choose Color",,"Choisissez une couleur","Wähle eine Farbe aus","Choose Color","Elegir color",
texTextures,Textures,,Textures,Texturen,Textures,Texturas,
texSymbols,Symbols,,Symboles,Symbole,Symbols,Simbolos,
texPage,"Page {0} / {1}",,"Page {0} / {1}","Seite {0} / {1}","Page {0} / {1}","Pagina {0} / {1}",
blkChooseShape,"Choose Shape",,"Choisissez une forme","Wähle eine Form aus","Choose Shape","Elegir Forma",
mnuPDA,PDA,,PDA,PDA,PDA,PDA,
mnuContent,Content,,Contenu,Inhalt,Content,Contenido,
mnuDescription,Description,,Description,Beschreibung,Description,Descripción,
mnuActions,Actions,,Actions,Aktionen,Actions,Acciones,
mnuTopics,Topics,,Sujets,Inhalt,Topics,Topicos,
btnActivateChapter,"Activate Chapter",,"Activer chapitre","Kapitel aktivieren","Activate Chapter","Activar el capítulo",
btnDeactivateChapter,"Deactivate Chapter",,"Désactiver chapitre","Kapitel deaktivieren","Deactivate Chapter","Desactivar el capítulo",
btnActivateMission,"Activate Mission",,"Activer mission","Mission aktivieren","Activate Mission","Activar Misión",
btnDeactivateMission,"Deactivate Mission",,"Désactiver la mission","Mission deaktivieren","Deactivate Mission","Desactivar Misión",
igmYouCompletedAction,"You successfully completed '{0}'",,"Vous avez complété '{0}'","Du hast erfolgreich '{0}' erledigt","You successfully completed '{0}'","Completado correctamente '{0}'",
igmOtherCompletedAction,"{0} successfully completed '{1}'",,"{0} a complété  '{1}' avec succès","{0} hat erfolgreich '{1}' erledigt","{0} successfully completed '{1}'","{0} completado correctamente {1}",
igmChapterCompleted,"Congratulations! You completed PDA chapter '{0}'",,"Congratulations ! Vous avez réussi le chapitre '{0}' du PDA","Glückwunsch! Du hast PDA Kapitel '{0}' erledigt","Congratulations! You completed PDA chapter '{0}'","¡Felicidades! Has completado el capítulo de la PDA '{0}'",
igmMissionCompleted,"Congratulations! You completed the mission '{0}'",,"Congratulations ! Vous avez complété la mission '{0}'","Glückwunsch! Du hast die Mission '{0}' erledigt","Congratulations! You completed the mission '{0}'","¡Felicidades! Has completado la misión '{0}'",
igmChapterAutoActivated,"In your PDA the chapter '{0}' was auto-activated. Open your PDA with F1",,"Le chapitre '{0}' du PDA a été activé automatiquement. Ouvrez votre PDA avec F1","In deinem PDA wurde automatisch Kapitel '{0}' aktiviert. Öffne dein PDA mit F1","In your PDA the chapter '{0}' was auto-activated. Open your PDA with F1","En su PDA, el capítulo '{0}' se activó automáticamente. Abra su PDA con F1",
hintBpNotUsable,"Contains forbidden block or has wrong version",,"Contient des blocs interdits ou bien appartenant à une mauvaise version du jeu.","Enthält verbotenen Block oder ist falsche Version","Possui blocos inválidos ou está em uma versão antiga","Contiene un bloque prohibido o tiene una versión incorrecta",
hintBpNotAllowedType,"Exceeds max number for certain block type or blueprint type disabled by server",,"Le nombre de certains blocs est trop grand, ou bien type de gabarit est désactivé par le serveur.","Übersteigt max erlaubt Anzahl für best. Blocktyp od. Bauplan-Typ ist vom Server gesperrt","Excede o número máximo de blocos de certo tipo ou o diagrama está desabilitado no servidor","Excede el número máximo para ciertos tipos de bloques o tipos de planos desactivados por el servidor",
hintBpTooLarge,"Blueprint size is restricted by the server",,"La dimension des gabarits est limité par le serveur.","Bauplan-Größe ist vom Server beschränkt","(O tamanho do diagrama excede o tamanho restrito do servidor)","El tamaño del plano es restringido por el servidor",
srvNoPermission,"Permission error: Command '{0}' cannot be executed by client {1}",,"Erreur d'autorisation : la comande '{0}' ne peut être exécutée par le client {1}","Berechtigungsfehler: Kommando '{0}' kann nicht von Anwender {1} ausgeführt werden","Erro de permissão: Comando '{0}' não pode ser executado pelo cliente {1}","Error de permiso: el comando '{0}' no puede ser ejecutado por el cliente {1}",
srvStopWarning,"WARNING: In {0} minute(s) the '{1}' server will be stopped! After that you can reconnect within a minute.",,"ATTENTION dans {0} minute(s) le serveur '{1}' s'arrêtera. Vous pourrez vous reconnecter après une minute.","WARNUNG: In {0} Minuten wird der '{1}' Server gestoppt. Danach kannst du dich innerhalb einer Minute wieder einloggen.","ALERTA: em {0} minuto(s) o '{1}' servidor vai ser desligado! Você poderá reconectar em um minuto.","ADVERTENCIA: ¡En {0} minutos el servidor '{1}' se detendrá! Después de un minuto podrá volver a conectarse.",
srvStopAllWarning,"WARNING: In {0} minute(s) all playfield servers will be stopped! After that you can reconnect within a minute.",,"ATTENTION dans {0} minute(s) tous les serveurs s'arrêteront. Vous pourrez vous reconnecter après une minute.","WARNUNG: In {0} Minuten werden die Spielfeld-Server gestoppt. Danach kannst du dich innerhalb einer Minute wieder einloggen.","ALERTA: em {0} minuto(s) o '{1}' todos os playfields serão desligados! Você poderá reconectar em um minuto.","ADVERTENCIA: ¡En {0} minuto (s) todos los servidores del campo de juego serán detenidos! Después de eso, puede volver a conectarse en un minuto.",
srvExitWarning,"WARNING: In {0} minute(s) the server will be shutdown! Please log out timely to avoid data loss.",,"ATTENTION : dans {0} minute(s) le serveur sera arrêté. Déconnectez-vous à temps pour éviter de perdre des données.","WARNUNG: In {0} Minuten wird der Server heruntergefahren. Bitte rechtzeitig ausloggen, um Datenverlust zu vermeiden.",,"ADVERTENCIA: ¡En {0} minuto (s) el servidor se apagará! Salga a tiempo para evitar la pérdida de datos.",
texWholeBlock,"Apply to Whole Block",,"Appliquer au bloc entier","Auf ganzen Block anwenden","Apply to Whole Block","Aplicar a todo el bloque",
bswTitle,"Building Tools",,"Outils de construction",Bauhilfen,"Building Tools","Herramientas de construcción",
bswNone,None,,Aucun,Keine,None,Ninguna,
bswXY,XY,,XY,XY,XY,XY,
bswXZ,XZ,,XZ,XZ,XZ,XZ,
bswYZ,YZ,,YZ,YZ,YZ,YZ,
bswSymmetry,"Symmetry Plane:",,"Plan de symétrie :",Symmetrieachse:,"Plano de simetria","Plano de Simetría:",
bswShowSI,"Show Structural Integrity",,"Afficher l'intégrité structurelle","Zeige strukturelle Integrität","Show Structural Integrity","Mostrar Integridad Estructural",
bswShowCOM,"Show Center of Mass",,"Afficher le centre de masse.","Zeige Massezentrum","Mostrar centro de massa","Mostrar centro de masa",
bswUndo,Undo,,Défaire,"Schritt zurück",Undo,Deshacer,
bswRedo,Redo,,Refaire,"Schritt vorwärts",Redo,Rehacer,
invPDA,PDA,,PDA,PDA,PDA,PDA,
invBlueprints,Blueprints,,Bleus,Baupläne,Blueprints,Planos,
dlgSetBlueprintGroupTo,"Set blueprint group name to:",,"Définissez le nom du groupe de bleus :","Benenne die Gruppe des Bauplanes:","Dê o nome para o grupo de blueprint:","Establezca el nombre del grupo de planos en:",
cplIntensity,Intensity,,Intensité,Intensität,Intensity,Intensidad,
cplRange,Range,,Portée,Reichweite,Range,Distancia,
mnuRespNearSpawnPointTitle,"Medic Station / Clone Chamber",,"Station médicale / chambre de clonage","Medizinstation / Klonkammer","Medic Station / Clone Chamber","Estación medica/Camara Clon",
mnuRespNearSpawnPointDesc,"Respawn at nearest Medic Station / Clone Chamber.",,"Apparaître à la station médicale ou chambre de clonage plus proche.","In der nächstgelegenen Medizinstation / Klonkammer spawnen.","Respawn at nearest Medic Station / Clone Chamber.","Respawn en la cercana estación Medica / Cámara de clonación.",
mnuRespLocalTitle,"Current Location",,Coordonnées,"Aktueller Standort","Current Location","Ubicación actual",
mnuRespLocalDesc,"Respawn near your death location.",,"Apparaître près du point où vous avez été tué","In der Nähe deines Sterbeorts spawnen.","Respawn near your death location.","Respawn cerca de su cadaver.",
mnuRespHomeTitle,"Home Base",,"Base principale",Heimatbasis,"Home Base","Casa Base",
mnuRespFreshStartTitle,"Fresh Start",,"Recommencer à zéro","Kompletter Neustart","Fresh Start","Nuevo Comienzo",
mnuStartWorldChange,"You will re-enter the game on {0} in your escape pod. [c][ff4040]Note: All other players will lose their inventory and get respawned on {0}, too.",,"Vous allez recommencer les jeu sur {0} dans votre module de sauvetage. [c][ff4040]Remarque : tous les autres joueurs perdront leur inventaire et recommenceront le jeu comme vous sur {0}.","Du wirst das Spiel neu auf {0} in deiner Rettungskapsel beginnen. [c][ff4040]Hinweis: Alle anderen Spieler verlieren ihre Gegenstände und werden auch auf {0} versetzt.",,"Volverás a entrar en el juego en {0} en tu pod de escape. [C] [ff4040] Nota: Todos los demás jugadores perderán su inventario y obtendrán respawn en {0}, también.",
mnuStartWorldChangeAlone,"You will re-enter the game on {0} in your escape pod.",,"Vous allez recommencer le jeu sur {0} dans votre capsule d'émergence","Du wirst das Spiel neu auf {0} in deiner Rettungskapsel beginnen.","You will re-enter the game on {0} in your escape pod.","Volverás a entrar en el juego en {0} en tu pod de escape.",
dlgEacIntegrityProblem,"EAC detected an integrity problem:",,"EAC a détecté un problème d'intégrité","AntiCheat hat ein Integritätsproblem festgestellt:","EAC detectou um problema de integridade","EAC detectó un problema de integridad:",
dlgEacUnknownError,"Unknown EAC error:",,"Erreur EAC inconnu :","Unbekannter AntiCheat-Fehler:","Erro desconhecido de EAC:","Error desconocido EAC:",
dlgOnlyUnprotectedMP,"Multiplayer is only possible with unprotected servers!",,"Multi-joueur possible uniquement sur des serveurs non protégés","Mehrspieler-Modus nur mit nicht geschützten Servern möglich!","Multiplayer is only possible with unprotected servers!","Error desconocido de EAC:",
groupFood,"Food & Medical",,"Nourriture et soins","Essen & Medizin","Food & Medical","Comida y Medicinas",
groupWeaponsItems,"Weapons & Items",,"Armes et objets","Waffen & Gegenstände","Weapons & Items","Armas y Artículos",
groupBuildingBlocks,"Building Blocks",,"Blocs de construction",Baublöcke,"Building Blocks","Bloques de construcción",
groupComponents,Components,,Composants,Komponenten,Components,Componentes,
groupDevices,Devices,,Systèmes,Geräte,Devices,Dispositivos,
groupDecoBlocks,"Decoration Blocks",,"Blocs décoratifs",Dekorationsblöcke,"Decoration Blocks","Bloques de Decoración",
placeEverywhere,"All Objects",,Objets,"Alle Objekte","All Objects","Todos los Objetos",
placeBA,Bases,,Bases,Basen,Bases,Bases,
placeCV,"Capital Vessels",,"Vaisseaux mères","Grosse Raumschiffe","Capital Vessels","Naves Capital",
placeSV,"Small Vessels",,"Vaisseaux légers","Kleine Raumschiffe","Small Vessels","Nave Pequeña",
placeHV,"Hover Vessels",,Planeurs,Bodengleiter,"Hover Vessels","Nave Deslizadora",
bptypeOwn,Own,,"Vos bleus",Eigene,Own,"Propio,personal",
bptypeStock,Stock,,Préfabriqué,Standard,Stock,Existencias,
bptypeWorkshop,Workshop,,"Workshop (Steam)",Werkbank,Workshop,Workshop,
cplFaction,Faction:,,"Faction :",Fraktion:,Facção:,Facción:,
cplTitle,"Control Panel",,"Panneau de contrôle",Steuerkonsole,"Control Panel","Panel de Control",
cplActive,Active,,Actif,Aktiv,Active,Activo,
cplPowered,Powered,,"En marche",Strom,Powered,Encendido,
cplHome,Home,,Maison,Heimat,Home,Casa,
biwInputItems,"Input Items:",,"En traitement :",Benötigt:,"Itens de entrada:","Elementos de entrada:",
biwOutputCount,"Output Count:",,"En sortie :",Produktionsmenge:,"Número de saída:","Número de salidas:",
Fridge,Fridge,,Réfrigérateur,Kühlschrank,Fridge,Frigorífico,
"Growing Light","Growing Light",,"Lumière de croissance horticole",Pflanzenleuchte,"Growing Light","Luz Invernadero",
Light,Light,,Plafonniers,Licht,Light,Luz,
Medic,Medic,,Docteur,Medizin,Medic,Médica,
"O2 Station","O2 Station",,"Station O2",Sauerstoffauffüllstation,"O2 Station","Estación O2",
"O2 Tank","O2 Tank",,"Réservoir O2",Sauerstofftank,"O2 Tank","Tanque O2",
"Passenger Seat","Passenger Seat",,"Siège passager",Passagiersitz,"Passenger Seat","Asiento de Pasajero",
Turret,Turret,,Tourelle,Geschütz,Turret,Torreta,
"Gravity Generator","Gravity Generator",,"Générateur de gravité",Schwerkraft-Generator,"Gravity Generator","Generador de Gravedad",
"Cargo Box","Cargo Box",,"Coffre de stockage",Frachtbox,"Cargo Box","Caja de Carga",
Ammo,"Ammo Box",,"Coffre à munitions",Munitionskiste,"Ammo Box","Caja de Municiones",
Warp,Warp,,"Saut spatio temporel",Warpsprung,Warp,"Hiper Salto",
Door,Door,,Porte,Türe,Door,Puerta,
HangarShutterDoor,"Hangar/Shutter Door",,"Porte de hangar",Hangar/Rolltore,"Hangar/Shutter Door","Puerta del Hangar/Compuerta",
Ramp,Ramp,,Rampe,Rampe,Ramp,Rampa,
LCD,"LCD Screen",,"Ecran LCD","LCD Display","LCD Screen","Pantalla LCD",
Ungrouped,Ungrouped,,Non-assignés,Ungruppiert,Ungrouped,Desagrupado,
Trading,Trading,交易,Échange,Handel,Negociação,Comercio,
